"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
"2494532965302944","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","3","","","","","买家已付款，等待卖家发货",""
"2495750984894333","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2495750982940030","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2495750982940030","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","买家已付款，等待卖家发货",""
"2495372174814333","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3019497904679972","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","1","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"2998726612268102","Budweiser/百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3018961517268374","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","卖家已发货，等待买家确认",""
"3018980510017094","Budweiser/百威啤酒明星定制装500mlx18听 罐装限量收藏","199.00","1","","","","","买家已付款，等待卖家发货",""
"3019335905712997","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","1","","","","","买家已付款，等待卖家发货",""
"3016484288797056","Budweiser/百威啤酒明星定制装500mlx18听 罐装限量收藏","199.00","1","","","","","买家已付款，等待卖家发货",""
"2495596183071240","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2495222370628829","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2495569989918035","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","2","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"2999922026067603","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","1","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"3019030100548859","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","买家已付款，等待卖家发货",""
"3019030100548859","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3017842897816751","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","发货快点过年喝的","买家已付款，等待卖家发货",""
"3018554911066567","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","卖家已发货，等待买家确认",""
"2495058970851843","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","1","TC-1844957027","","","麻烦卖家帮我包好，不要有质量问题或者挤压变形，尽快发货","买家已付款，等待卖家发货","TC-1844957027"
"2494184162233634","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","1","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"2999813620190904","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3016041284858499","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2494993777180249","Budweiser/百威经典醇正啤酒330ml*48听 罐装黄啤小麦熟啤","516.00","1","","","","","买家已付款，等待卖家发货",""
"3018352514617898","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","2","","","","","买家已付款，等待卖家发货",""
"3018328514254882","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","1","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"3018737500311092","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","1","","","","","买家已付款，等待卖家发货",""
"2495277187767947","Budweiser/百威经典醇正啤酒330ml*48听 罐装黄啤小麦熟啤","516.00","1","","","","必须发申通快递","买家已付款，等待卖家发货",""
"2999711221240702","Budweiser/百威啤酒小麦醇正9.7度经典小瓶330ml *12瓶装婚礼","158.00","1","","","","","买家已付款，等待卖家发货",""
"2493905198056442","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","卖家已发货，等待买家确认",""
"3015820282353093","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","卖家已发货，等待买家确认",""
"2997756002481020","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","等待买家付款","TC-1510763128171"
"3018532104075663","Budweiser/百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2493832398434141","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3018477906656960","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","2","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3018053319590855","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2998314430224822","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2998313030074822","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","等待买家付款","TC-1510763128171"
"3017301890466960","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","交易关闭",""
"3017988514716960","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","交易关闭",""
"2998160211219710","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","10","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3017193297587780","Budweiser百威啤酒经典醇正355ml*12瓶 铝罐装婚宴礼节喜酒","198.00","1","","","","","买家已付款，等待卖家发货",""
"2495074182950436","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","等待买家付款",""
"3015341283149986","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","5","","","","","买家已付款，等待卖家发货",""
"3018022306280492","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3017993500534192","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3016767897903292","Budweiser/百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2997329406970007","Budweiser/百威经典醇正啤酒330ml*48听 罐装黄啤小麦熟啤","516.00","1","","","","","等待买家付款",""
"2997794410300906","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","1","","","","","等待买家付款",""
"2997238807284918","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","4","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2997238807284918","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","4","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"2997238807284918","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","4","","","","","买家已付款，等待卖家发货",""
"2999146628495511","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","等待买家付款",""
"2999146628495511","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","等待买家付款","TC-1510763128171"
"3017154714757664","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3017427709431580","Budweiser/百威啤酒明星定制装500mlx18听 罐装限量收藏","199.00","1","","","","发EMS","等待买家付款",""
"2997654816730409","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","1","","","","","等待买家付款",""
"3014623684802172","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","2","","","","","买家已付款，等待卖家发货",""
"3016983719622172","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","2","","","","","等待买家付款",""
"2997138401857015","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","2","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3016950317479397","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","2","","","","","买家已付款，等待卖家发货",""
"3016929916128365","Budweiser百威啤酒经典醇正355ml*12瓶 铝罐装婚宴礼节喜酒","198.00","1","","","","","买家已付款，等待卖家发货",""
"3016126693271097","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","用 申通或圆通 快递","卖家已发货，等待买家确认",""
"3017303101961097","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","使用 申通或圆通 快递","交易关闭",""
"2493223993826127","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3016792713428495","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3017192302226484","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2997015601200200","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3014321086706377","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","1","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"3017091303739069","Budweiser百威美式拉格啤酒600ml*12瓶装 商务宴请婚宴礼","320.00","2","","","","","交易关闭",""
"3015864498122855","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","买家已付款，等待卖家发货",""
"3015864498122855","Budweiser百威啤酒经典醇正355ml*24瓶 铝罐装婚宴礼节喜酒","396.00","1","","","","","买家已付款，等待卖家发货",""
"3014236883353294","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2493075797162839","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3014193086684856","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","卖家已发货，等待买家确认",""
"2996906005577805","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","等待买家付款",""
"3014068086901386","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","1","","","","","买家已付款，等待卖家发货",""
"2493002593983449","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","2","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2997348616138607","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","3","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2493976170996440","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3016799305599195","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","3","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"3016363511046663","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2997299213607905","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","1","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"3016646708118598","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","交易关闭",""
"2493871777666136","Budweiser/百威啤酒明星定制铝罐355mlx6瓶 罐装限量收藏","139.00","1","","","","","买家已付款，等待卖家发货",""
"2493018361636136","Budweiser/百威啤酒明星定制装500mlx18听 罐装限量收藏","199.00","1","","","","","买家已付款，等待卖家发货",""
"3016008513919067","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","1","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"2998554429385704","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","卖家已发货，等待买家确认",""
"2492760393187937","Budweiser/百威美式拉格啤酒600ml*12瓶装 商务宴请婚宴礼","320.00","1","","","","","等待买家付款",""
"2492817365013631","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","3","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3015609319429074","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","2","","","","","买家已付款，等待卖家发货",""
"3013233684619074","Budweiser/百威啤酒明星定制铝罐355mlx6瓶 罐装限量收藏","139.00","5","","","","","买家已付款，等待卖家发货",""
"2493496374150426","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","卖家已发货，等待买家确认",""
"2492501597398140","Budweiser/百威啤酒明星定制铝罐355mlx6瓶 罐装限量收藏","139.00","1","","","","","买家已付款，等待卖家发货",""
"2492436191477948","Budweiser/百威美式拉格啤酒600ml*12瓶装 商务宴请婚宴礼","320.00","1","","","","","买家已付款，等待卖家发货",""
"2996225209986211","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","卖家已发货，等待买家确认",""
"3014414096582187","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","4","","","","","买家已付款，等待卖家发货",""
"3015582506082281","Budweiser/百威啤酒明星定制铝罐355mlx6瓶 罐装限量收藏","139.00","1","","","","","等待买家付款",""
"3015579303454796","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2996784632632203","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3014363099609359","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","发票，顺丰，谢谢。如果有酒杯相赠就更开心不过了","卖家已发货，等待买家确认",""
"3012738688078399","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","8","","","","","等待买家付款",""
"3015474902989384","Budweiser百威啤酒经典醇正355ml*12瓶 铝罐装婚宴礼节喜酒","198.00","1","","","","","买家已付款，等待卖家发货",""
"2996673834373114","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","2","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3014900311661583","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3015306307891480","Budweiser百威啤酒经典醇正355ml*12瓶 铝罐装婚宴礼节喜酒","198.00","50","","","","","买家已付款，等待卖家发货",""
"2493218377117629","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","卖家已发货，等待买家确认",""
"2493174976501230","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","等待买家付款","TC-1510763128171"
"2996452214407024","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","2","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3014712712049851","Budweiser百威啤酒经典醇正355ml*24瓶 铝罐装婚宴礼节喜酒","396.00","2","","","","","买家已付款，等待卖家发货",""
"3014629717539387","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","2","TC-1510763128171","","","请包装好，两箱之间也要有填充物缓冲","买家已付款，等待卖家发货","TC-1510763128171"
"3012279482555978","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3013828298879663","Budweiser/百威美式拉格啤酒600ml*12瓶装 商务宴请婚宴礼","320.00","1","","","","","买家已付款，等待卖家发货",""
"2493387180591149","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3014466718016292","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","1","","","","","买家已付款，等待卖家发货",""
"2995717004266801","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","等待买家付款","TC-1510763128171"
"2491916760589043","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","1","","","","","买家已付款，等待卖家发货",""
"2493075589122627","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2996090434550819","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","交易关闭",""
"3013795118827558","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2995889015807022","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","1","","","","","买家已付款，等待卖家发货",""
"2491712160949648","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2491706561903829","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3012761499507670","Budweiser百威啤酒经典醇正355ml*24瓶 铝罐装婚宴礼节喜酒","396.00","1","","","","","买家已付款，等待卖家发货",""
"2492823580647948","Budweiser/百威美式拉格啤酒600ml*12瓶装 商务宴请婚宴礼","320.00","1","","","","","买家已付款，等待卖家发货",""
"3012666690391586","Budweiser/百威美式拉格啤酒600ml*12瓶装 商务宴请婚宴礼","320.00","2","","","","发中通快递","买家已付款，等待卖家发货",""
"3013175517994491","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2492386770596447","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","2","TC-1510763128171","","","如果家里没有人收货，请送至248弄门卫隔壁物业","买家已付款，等待卖家发货","TC-1510763128171"
"3012982916264974","Budweiser百威啤酒经典醇正355ml*12瓶 铝罐装婚宴礼节喜酒","198.00","1","","","","","买家已付款，等待卖家发货",""
"2995578638110210","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"2995003603120210","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3012855311536393","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","6","","","","","交易关闭",""
"3010517481916450","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","1","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"3012768119126450","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","1","TC-1844957027","","","","等待买家付款","TC-1844957027"
"3012668713120961","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","4","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"2492122570685430","Budweiser/百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3010347680292570","百威啤酒经典醇正355ml*6瓶 铝罐装整箱婚宴礼节喜酒","99.00","2","TC-1844957027","","","","买家已付款，等待卖家发货","TC-1844957027"
"2492047573671247","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","交易关闭","TC-1510763128171"
"3012948105403274","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","1","","","","","买家已付款，等待卖家发货",""
"3011710292185555","Budweiser百威啤酒经典醇正355ml*12瓶 铝罐装婚宴礼节喜酒","198.00","1","","","","","交易关闭",""
"2995343832547000","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","1","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3011695893548299","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3012318918615973","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","2","","","","","买家已付款，等待卖家发货",""
"3012318918615973","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","2","","","","","买家已付款，等待卖家发货",""
"2994702606640518","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","2","","","","","买家已付款，等待卖家发货",""
"3012203714594589","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","2","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
"3012661509124564","Budweiser/百威经典醇正啤酒330ml*48听 罐装黄啤小麦熟啤","516.00","1","","","","","买家已付款，等待卖家发货",""
"2995222433838005","Budweiser/百威金尊啤酒500ml*12瓶 高端商务宴请 婚宴礼节","199.00","1","","","","","卖家已发货，等待买家确认",""
"2492154388406925","Budweiser/百威啤酒明星定制装500mlx18听 罐装限量收藏","199.00","1","","","","","买家已付款，等待卖家发货",""
"2994506006997516","Budweiser/百威啤酒明星定制装500mlx18听 罐装限量收藏","199.00","1","","","","","等待买家付款",""
"3009539085758283","Budweiser/百威啤酒精酿大师金标798ml*1瓶 礼盒装商务婚宴礼节","319.00","1","","","","","买家已付款，等待卖家发货",""
"3009508289634975","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","1","","","","","买家已付款，等待卖家发货",""
"3009481883095077","Budweiser/百威啤酒明星定制装500mlx18听 罐装限量收藏","199.00","1","","","","","等待买家付款",""
"3012237500978887","Budweiser百威经典醇正啤酒330ml*24听 罐装黄啤小麦熟啤酒","258.00","2","","","","","交易关闭",""
"2996322622361113","百威啤酒经典醇正500ml*18听罐装整箱黄啤小麦酒","199.00","3","TC-1510763128171","","","","买家已付款，等待卖家发货","TC-1510763128171"
